DroneID,px,py,pz,vx,vy,vz,thrustZ
0,106.0,116.0,52.8038,60.0,160.0,28.038,435.28499999999997
0,117.24000000000001,145.97333333333333,58.056252,112.4,299.73333333333335,52.524519999999995,384.8166
0,132.93626666666668,187.83004444444444,65.39111741333333,156.96266666666668,418.5671111111111,73.34865413333333,332.32946400000003
0,152.29953955555558,239.46543881481483,74.43957483431112,193.6327288888889,516.3539437037037,90.48457420977778,279.08866656
0,174.55140587851855,298.8037490093827,84.8378719670317,222.51866322962962,593.3831019456791,103.98297132720592,226.23941418239997
0,198.93871167612843,363.83656446967575,96.23405996625479,243.87305797609875,650.3281546029301,113.96187999223095,174.796927108096
0,224.745930621804,432.6558149914773,108.29377337956899,258.07218945675584,688.1925052180158,120.59713413314202,125.6400001128892
0,251.30546093417144,503.4812291577905,120.7050418945383,265.5953031236744,708.2541416631319,124.11268514969308,79.50797866158
0,278.0058654612029,574.6823078965411,133.18214093002013,267.00404527031486,712.0107873875064,124.77099035481815,37.00084659184549
0,304.2981095294603,644.7949587452275,145.4685065831168,262.922440682574,701.1265084868642,122.86365653096686,-1.417908322287606
0,329.699885373181,712.5330276618162,157.3387564348875,254.0177584372074,677.3806891658865,118.70249851770704,-35.41600454580072
0,353.7981407527746,776.795042007399,168.5998711737716,240.98255379593573,642.6201434558286,112.61114738884079,-64.78501708122306
0,376.24995274348936,836.666540649305,179.09160291703262,224.51811990714765,598.7149864190604,104.91731743261012,-89.43133460457597
0,396.7819057336581,891.418415289755,188.68618454933846,205.31952990168736,547.5187464044997,95.94581632305851,-109.36578490001304
0,415.18814562353566,940.5017216627618,197.28742044987825,184.06239889877577,490.8330637300687,86.01235900539791,-124.69227813260315
0,431.32729034602227,983.539440922726,204.82924277869623,161.39144722486589,430.37719259964234,75.41822328817982,-135.59579985773163
0,445.11838049118984,1020.3156813098395,211.27381920353304,137.91090145167573,367.7624038711353,64.44576424836805,-142.3300632683584
0,456.53605341104907,981.573279293756,216.60929775898325,114.17672919859234,-184.26720706244043,53.354785554502186,-145.2051039831512
0,465.60512015123567,963.4806098769695,220.84727264667245,90.69066740186601,-180.92669416786464,42.37974887689197,-144.575071608703
0,472.3947173694443,946.0482130004342,224.02005142674136,67.8959721820865,-174.323968765353,31.727787800689008,-140.8264412553553
0,477.0121965369885,929.5543075307206,226.17779944173475,46.17479167544174,-164.9390546971355,21.577480149933905,-134.36683598125762
0,479.59690066258815,914.2286658271621,227.3856316796275,25.847041255996928,-153.25641703558517,12.07832237892734,-125.6146185501051
0,480.3139650015388,900.2531859221066,227.72071584521913,7.170643389506292,-139.75479905055516,3.3508416559162573,-114.9893786072735
0,479.34826317763725,887.7633601551482,227.26944338290994,-9.657018239015471,-124.89825766958393,-4.5127246230919695,-102.90341001953178
0,476.89860428473247,876.8505152668957,226.12471778225552,-24.496588929047935,-109.12844888252462,-11.447256006544148,-89.75424321409187
0,473.17227025470953,867.5646968613856,224.3834018900258,-37.263340300229316,-92.85818405510115,-17.413158922297207,-75.91826933695032
0,468.3799664494615,859.9180718152355,222.1439583218334,-47.923038052480095,-76.46625046150082,-22.394435681923998,-61.74546728663158
0,462.73124238778405,853.8887253377034,219.5043095678115,-56.48724061677452,-60.29346477532117,-26.396487540218786,-47.55522144261418
0,456.43042404492985,849.424734644354,216.55993715619573,-63.00818342854205,-44.639906933494245,-29.44372411615775,-33.633197393106336
0,449.67308451108147,846.448408265408,213.4022323920284,-67.57339533848354,-29.76326378945899,-31.577047641673403,-20.229225294350567
0,442.643066170622,844.8605885349082,210.11710482153168,-70.30018340459492,-15.878197304998302,-32.85127570496725,-7.556125713575082
0,435.5100551297324,844.5449244716301,206.78384876212397,-71.33011040889586,-3.1566406327801175,-33.33256059407708,4.2105990928558255
0,428.42769749727637,845.3720327523358,203.47426304047727,-70.82357632456012,8.271082807057073,-33.09585721646698,14.93229460474372
0,421.53223739567017,847.2034754947196,200.25201453499668,-68.95460101606231,18.314427423837152,-32.22248505480596,24.505996703268664
0,414.94164829032184,849.895494834688,197.1722322460674,-65.90589105348303,26.920193399683946,-30.797822889292657,32.86268397721891
0,408.75522239040424,853.302455548366,194.28131542303592,-61.864258999175874,34.06960713678007,-28.909168230314922,39.96503759573676
0,403.0535774720031,857.2799580082843,191.61693675266707,-57.01644918401129,39.775024599183666,-26.643786703688516,45.80480607636461
0,397.8990364621247,861.687594378979,189.2082197387509,-51.54541009878404,44.07636370694721,-24.08717013916182,50.39986979753156
